Time_sec,Load_kN,EXT TR 25_mm,EXT TR 12.5_mm,Displacement_mm,SP-Actuator #01_mm,SV-Actuator #01_,CY-Actuator #01_,
10.931,0.753,26.325,0.000,0.236,-22.368,-22.368,0.000
11.065,0.787,26.325,0.000,0.240,-22.365,-22.365,0.000
11.198,0.821,26.325,0.000,0.243,-22.362,-22.362,0.000
11.331,0.856,26.325,0.000,0.246,-22.358,-22.358,0.000
11.465,0.890,26.325,0.000,0.250,-22.355,-22.355,0.000
11.598,0.926,26.325,0.000,0.253,-22.352,-22.352,0.000
11.731,0.963,26.325,0.000,0.256,-22.348,-22.348,0.000
11.865,1.003,26.325,0.000,0.260,-22.345,-22.345,0.000
11.998,1.042,26.325,0.000,0.263,-22.342,-22.342,0.000
12.131,1.082,26.325,0.000,0.266,-22.338,-22.338,0.000
12.265,1.121,26.325,0.000,0.270,-22.335,-22.335,0.000
12.398,1.161,26.325,0.000,0.273,-22.332,-22.332,0.000
12.531,1.201,26.326,0.000,0.276,-22.329,-22.328,0.000
12.664,1.242,26.325,0.000,0.280,-22.325,-22.325,0.000
12.798,1.281,26.325,0.000,0.283,-22.322,-22.322,0.000
12.931,1.320,26.326,0.000,0.286,-22.318,-22.318,0.000
13.064,1.360,26.325,0.000,0.290,-22.315,-22.315,0.000
13.198,1.401,26.326,0.000,0.293,-22.312,-22.312,0.000
13.331,1.441,26.326,0.000,0.296,-22.309,-22.308,0.000
13.464,1.482,26.326,0.000,0.300,-22.305,-22.305,0.000
13.598,1.524,26.326,0.000,0.303,-22.302,-22.302,0.000
13.731,1.567,26.326,0.000,0.306,-22.299,-22.299,0.000
13.864,1.609,26.326,0.000,0.310,-22.295,-22.295,0.000
13.998,1.652,26.326,0.000,0.313,-22.292,-22.292,0.000
14.131,1.696,26.326,0.000,0.316,-22.289,-22.289,0.000
14.264,1.737,26.326,0.000,0.320,-22.285,-22.285,0.000
14.398,1.782,26.325,0.000,0.323,-22.282,-22.282,0.000
14.531,1.826,26.326,0.000,0.326,-22.279,-22.279,0.000
14.664,1.867,26.326,0.000,0.330,-22.275,-22.275,0.000
14.797,1.909,26.326,0.000,0.333,-22.272,-22.272,0.000
14.931,1.952,26.326,0.000,0.336,-22.269,-22.269,0.000
15.064,1.994,26.326,0.000,0.340,-22.265,-22.265,0.000
15.197,2.035,26.325,0.000,0.343,-22.262,-22.262,0.000
